ponto,cidade,cnpj,tipo,raio
HUMAITA FOOD SERVICE INDUSTRIA E COMERCIO LTDA - HUMAITA,Guararapes - SP,,CLIENTE,0
MARFRIG GLOBAL FOODS S.A - MARFRIG67,Varzea Grande - MT,,CLIENTE,0
G.M.A.P SUPERMERCADO S.A . - GMAP11,Itaborai - RJ,,CLIENTE,0
SUPERMERCADO ALVORADA LTDA - ALVORADA,Itaborai - RJ,,CLIENTE,0
MASTERBOI 02 RECIFE,Recife Capital - PE,,CLIENTE,0
fabrica de conservas ADCRIS LTDA ME,Duque de Caxias - RJ,,CLIENTE,0
CEREAIS BRAMIL LTDA - BRAMIL23,Tres Rios - RJ,,CLIENTE,0
FRIOZEM - JANDIRA - SP,Jandira - SP,,CLIENTE,0
FRINSCAL - DISTRIBUIDORA E IMPORTADORA DE ALIMENTOS LTDA,Joao Pessoa Capital - PB,,CLIENTE,0
FRINSCAL LTDA PALMARES,Palmares - PE,,CLIENTE,0
FRINSCAL LTDA MACEIO,Maceio Capital - AL,,CLIENTE,0
EVOLUCAO DIESEL,Maringa - PR,,MANUTENÇÃO,0
HANOVER TRUCK CENTER,Maringa - PR,,MANUTENÇÃO,0
COTIPA ALIMENTOS LTDA - COTIPA,Cotipora - RS,,CLIENTE,0
J A COMERCIO DE GENEROS ALIMENTICIOS E SERVICOS EIRELI,Campo Limpo Paulista - SP,,CLIENTE,0
FRIGORIFICO INDUSTRIAL VALE DO PIRANGA S-A - SAUDALI,Ponte Nova - MG,,CLIENTE,0
POSTO GALVAO,Ribeirao Preto - SP,,PONTO DE PARADA,0
COOPER CHARQUE INDUSTRIA E COMERCIO ALIMENTOS LTDA - COOPERCHA2,Carapicuiba - SP,,CLIENTE,0
FRIGORIFICO ARGUS LTDA - ARGUS,Sao Jose dos Pinhais - PR,,CLIENTE,0
NOSSO ATACAREJO COMERCIO DE GENEROS ALIMENTICIOS LTDA - ATACA,Pau dos Ferros - RN,,CLIENTE,0
NOSSO ATACAREJO COM GENEROS ALIM LTDA - ATACA 4,Limoeiro do Norte - CE,,CLIENTE,0
ISM GOMES DE MATTOS LTDA - ISM,Fortaleza Capital - CE,,CLIENTE,0
SUPERMERCADO SAO JUDAS TADEU  LTDA,Santo Andre - SP,,CLIENTE,0
AGROINDUSTRIAL IRMAO DALLA COSTA LTDA - PALMALI,Palmas - PR,,CLIENTE,0
GTF COMERCIO DE PAPEIS,Cotia - SP,,CLIENTE,0
SUPERMERCADO JAU SERVE LTDA  - IZ- JAU,Jau - SP,,CLIENTE,0
KBG INDUSTRIA ALIMENTICIA LTDA - KBG,Araras - SP,,CLIENTE,0
SCANTECH ELETRICA & DIESEL,Maringa - PR,,MANUTENÇÃO,0
SUPER  DISTRIBUIDORA DE ALIMANTOS LTDA - IS - ALIME,Rolandia - PR,,CLIENTE,0
APETIT SERVICOS E ALIMENTACAO LTDA - BI - APE73,Apucarana - PR,,CLIENTE,0
manutencao,Maringa - PR,,MANUTENÇÃO,0
Estacionamento Parc-Cobrascam,Rio de Janeiro - rodoanel - RJ,,PONTO DE PARADA,0
BMG FOODS IMPORTACAO E EXPORTACAO LTDA - BMG 44,Barueri - SP,,FILIAL,0
JBS S-A SANTANA DE PARNAIBA,Santana de Parnaiba - SP,,CLIENTE,0
MR BOM GOSTO FABRICACAO E CPMERCIO DE PROD. ALIMENTICIOS - MRBOM,Rio Bonito - RJ,,CLIENTE,0
MINERVA S.A - MINERVA51,Araraquara - SP,,CLIENTE,0
Oficina Trucks Control Marialva-PR,Marialva - PR,,MANUTENÇÃO,0
RDD COMERCIO DE ALIMENTOS LTDA - ED -RDD,Diadema - SP,,CLIENTE,0
PRINCESA AUTO SERVICO DE COMESTIVEIS LTDA  - SURPRINCESA,Rio de Janeiro - rodoanel - RJ,,CLIENTE,0
PB FOODS DIST COMERCIO E INDUSTRIA DE ALIMENTOS,Joao Pessoa Capital - PB,,CLIENTE,0
LONDRES COMERCIO DE CARNES E DERIVADOS LTDA - LONDRES,Campinas - SP,,CLIENTE,0
Posto Platinao Cuiaba 1,Cuiaba Capital - MT,,ABASTECIMENTO,0
BATISTA E IZEPE LTDA - AN-PARA123,Doutor Camargo - PR,,CLIENTE,0
BARROSO A J COMERCIO DE PRODUTOS ALIMENTICIOS  LTDA,Nova Iguacu - RJ,,CLIENTE,0
TOP ALTO PARTICIPACOES E COMERCIO LTDA  -TOP- ALTO,Duque de Caxias - RJ,,CLIENTE,0
BORRACHARIA MENEZES,Porto Alegre - RS,,MANUTENÇÃO,0
PAINEIRA ALIMENTOS LTDA EM RECUPERACAO - PAINEIRA,Cajamar - SP,,CLIENTE,0
LINK PROTEIN LTDA,Onda Verde - SP,,CLIENTE,0
BMG FOODS CACOAL,Cacoal - RO,,FILIAL,0
SENDAS DISTRIBUIDORA S-A,Santos - SP,,CLIENTE,0
SENDAS DISTRIBUIDORA S-A - ASSAI53,Sao Paulo - SP,,CLIENTE,0
SENDAS DISTRIBUIDORA S-A - ASSAI17,Sao Paulo - SP,,CLIENTE,0
SENDAS DISTRIBUIDORA S-A - ASSAI49,Sao Paulo - SP,,CLIENTE,0
POSTO MIRIAN  CUIABA,Cuiaba Capital - MT,,ABASTECIMENTO,0
Deposito mercado Alvorada Eirelli,Itaborai - RJ,,CLIENTE,0
AP COMERCIO DE FRIOS LTDA - APFRIOS,Laurentino - SC,,CLIENTE,0
JBS S-A - JBS236,Sao Paulo - SP,,CLIENTE,0
Frimorite Frigorifico Ltda,Sao Goncalo - RJ,,CLIENTE,0
Estacionamento Catan,Queimados - RJ,,AREA DE ESPERA,0
LHS Estacionamentos SAO PAULO,Sao Paulo - SP,,PONTO DE PARADA,0
BOIBOM MAYARA  | Food  SAO PEDRO DA ALDEIA,Sao Pedro da Aldeia - RJ,,CLIENTE,0
INDUSTRIA DE ALIMENTOS PEDRA PRETA LTDA - PEDRAPRETA,Porciuncula - RJ,,CLIENTE,0
TCM DISTRIBUIDORA E ATACADISTA DE ALIMENTOS LTDA - TMC2,Joao Pessoa Capital - PB,,CLIENTE,0
BMG CURITIBA  R. GENERAL PORTIGUARA,Curitiba - PR,,FILIAL,0
TMC DIST E ATAC DE ALIMENTOS LTDA - TMC4,Natal Capital - RN,,CLIENTE,0
KARNE E KEIJO LOGISTICA INTEGRADA LTDA - KARNEKEIJO,Recife Capital - PE,,CLIENTE,0
BAITA FRIO ARMAZEM EIRELI - BAITAFRIO,Sao Paulo - SP,,CLIENTE,0
PB FOODS DIST COMERCIO E INDUSTRIA DE ALIMENTOS,Caico - RN,,CLIENTE,0
VOLVO DE APARECIDA DE GOIANIA,Aparecida de Goiania - GO,,MANUTENÇÃO,0
POSTO BORSATO BAURU,Bauru - SP,,PONTO DE PARADA,0
M.P.F.NOVA UNIAO ALIMENTOS LTDA  - UNIAO,Guarulhos - SP,,CLIENTE,0
BALANCA TOLOI,Brodowski - SP,,PONTO DE PARADA,0
BRASIL PARK ESTACIONAMENTO,Guarulhos - SP,,PONTO DE PARADA,0
POSTO DUZENTAO,Maringa - PR,,PONTO DE PARADA,0
POSTO Bizungao,Iaras - SP,,PONTO DE PARADA,0
BMG GUAIRACA,Guairaca - PR,,CLIENTE,0
LTY COMERCIO E INDUSTRIA DE GENEROS ALIMENTICIOS LTDA,Itaborai - RJ,,CLIENTE,0
OESA COMERCIO E REPRESENTACOES SA - OESA10,Estancia Velha - RS,,CLIENTE,0
AGROMASS  BRASIL - IMPORTACAO E EXPORTACAO LTDA,Catalao - GO,,CLIENTE,0
FRIOS SCHROEDER LTDA - FRIOS,Inhauma - MG,,CLIENTE,0
OESA COMERCIO E REPRESENTACOES SA - OESA6  ITARIRIR,Itariri - SP,,CLIENTE,0
ESTACIONAMENTO IBIUNA,Ibiuna - SP,,PONTO DE PARADA,0
TENNESSEE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,Cajamar - SP,,CLIENTE,0
